13:10:50.366 -> Forming a connection to e3:27:98:fc:95:ca
13:10:50.366 ->  - Created client
13:10:53.342 ->  - Connected to server
13:10:54.000 ->  - Found our service
13:10:54.000 ->  - Found our characteristic
13:10:54.000 -> We are now connected to the BLE Server.
13:10:54.140 -> e32798fc95ca.txt exists.
13:10:54.140 -> GIVEN SN: E0001
13:10:54.279 -> GROUND SIGNALS ON ALL INPUTS
13:11:03.711 -> V1: -0.00160 V2: -0.01389 T1: 9.58400 T2: 9.60200
13:11:03.758 -> V1: -0.02110 V2: -0.01795 T1: 9.62100 T2: 9.63900
13:11:03.805 -> V1: -0.00973 V2: 0.00236 T1: 9.65700 T2: 9.67600
13:11:03.853 -> V1: 0.01384 V2: 0.02674 T1: 9.69400 T2: 9.71200
13:11:03.853 -> V1: 0.03090 V2: 0.02836 T1: 9.73000 T2: 9.74800
13:11:03.900 -> V1: 0.01709 V2: 0.00480 T1: 9.76700 T2: 9.78500
13:11:03.948 -> V1: -0.00891 V2: -0.01632 T1: 9.80400 T2: 9.82200
13:11:03.995 -> V1: -0.02110 V2: -0.01714 T1: 9.84000 T2: 9.85900
13:11:04.041 -> V1: -0.00810 V2: 0.00480 T1: 9.87700 T2: 9.89500
13:11:04.041 -> V1: 0.01790 V2: 0.02999 T1: 9.91300 T2: 9.93100
13:11:04.088 -> V1: 0.03009 V2: 0.02268 T1: 9.94900 T2: 9.96700
13:11:04.134 -> V1: 0.00734 V2: -0.00657 T1: 9.98600 T2: 10.00400
13:11:04.181 -> V1: -0.01623 V2: -0.02120 T1: 10.02200 T2: 10.04000
13:11:04.181 -> V1: -0.01785 V2: -0.00820 T1: 10.05900 T2: 10.07700
13:11:04.228 -> V1: 0.00409 V2: 0.01536 T1: 10.09600 T2: 10.11400
13:11:04.275 -> V1: 0.02440 V2: 0.03161 T1: 10.13200 T2: 10.15000
13:11:04.322 -> V1: 0.02684 V2: 0.01536 T1: 10.16800 T2: 10.18600
13:11:04.369 -> V1: -0.00079 V2: -0.01307 T1: 10.20500 T2: 10.22300
13:11:04.417 -> V1: -0.02029 V2: -0.01957 T1: 10.24100 T2: 10.25900
13:11:04.417 -> V1: -0.01135 V2: 0.00318 T1: 10.27700 T2: 10.29500
13:11:04.464 -> V1: 0.01627 V2: 0.02836 T1: 10.31400 T2: 10.33200
13:11:04.512 -> V1: 0.03009 V2: 0.02511 T1: 10.35000 T2: 10.36800
13:11:04.512 -> V1: 0.01465 V2: -0.00089 T1: 10.38700 T2: 10.40500
13:11:04.559 -> V1: -0.01298 V2: -0.01876 T1: 10.42300 T2: 10.44100
13:11:04.607 -> V1: -0.02029 V2: -0.00982 T1: 10.45900 T2: 10.47700
13:11:04.654 -> V1: 0.00246 V2: 0.01780 T1: 10.49500 T2: 10.51300
13:11:04.701 -> V1: 0.02846 V2: 0.03080 T1: 10.53200 T2: 10.55000
13:11:04.701 -> V1: 0.02684 V2: 0.01455 T1: 10.56800 T2: 10.58700
13:11:04.748 -> V1: 0.00409 V2: -0.00576 T1: 10.60600 T2: 10.62400
13:11:04.794 -> V1: -0.01541 V2: -0.02120 T1: 10.64200 T2: 10.66000
13:11:04.839 -> V1: -0.01704 V2: -0.00332 T1: 10.67900 T2: 10.69700
13:11:04.839 -> V1: 0.00652 V2: 0.02105 T1: 10.71500 T2: 10.73300
13:11:04.886 -> V1: 0.03009 V2: 0.02918 T1: 10.75100 T2: 10.76900
13:11:04.932 -> V1: 0.01952 V2: 0.00318 T1: 10.78700 T2: 10.80500
13:11:04.979 -> V1: -0.01216 V2: -0.01876 T1: 10.82300 T2: 10.84200
13:11:05.025 -> V1: -0.02110 V2: -0.01064 T1: 10.86000 T2: 10.87800
13:11:05.025 -> V1: 0.00246 V2: 0.01780 T1: 10.89600 T2: 10.91400
13:11:05.073 -> V1: 0.02684 V2: 0.03161 T1: 10.93200 T2: 10.95000
13:11:05.121 -> V1: 0.02602 V2: 0.01293 T1: 10.96800 T2: 10.98600
13:11:05.167 -> V1: -0.00323 V2: -0.01389 T1: 11.00500 T2: 11.02300
13:11:05.167 -> V1: -0.02110 V2: -0.01876 T1: 11.04100 T2: 11.06000
13:11:05.214 -> V1: -0.01216 V2: 0.00155 T1: 11.07800 T2: 11.09600
13:11:05.260 -> V1: 0.01221 V2: 0.02593 T1: 11.11400 T2: 11.13200
13:11:05.307 -> V1: 0.03090 V2: 0.02674 T1: 11.15100 T2: 11.16900
13:11:05.354 -> V1: 0.01709 V2: 0.00318 T1: 11.18700 T2: 11.20500
13:11:05.354 -> V1: -0.01216 V2: -0.01876 T1: 11.22300 T2: 11.24100
13:11:05.401 -> V1: -0.02029 V2: -0.00982 T1: 11.26000 T2: 11.27800
13:11:05.448 -> V1: 0.00327 V2: 0.01536 T1: 11.29600 T2: 11.31400
13:11:05.495 -> V1: 0.02521 V2: 0.03161 T1: 11.33200 T2: 11.35100
